City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price
Pune,2023,Hyundai,NEW,Petrol,Auto,876000,1st owner,"EMI ₹16,676/m","₹16,676"
Pune,2022,Renault,TRIBER,Petrol,Auto,650000,1st owner,"EMI ₹12,705/m","₹12,705"
Pune,2019,Hyundai,VENUE,Petrol,Auto,772000,2nd owner,"EMI ₹15,088/m","₹15,088"
Pune,2022,Tata,NEXON,Diesel,Manual,1254000,1st owner,"EMI ₹23,862/m","₹23,862"
Pune,2022,Tata,ALTROZ,Petrol,Manual,741000,1st owner,"EMI ₹14,478/m","₹14,478"
Pune,2023,MG,ASTOR,Petrol,Auto,1380000,1st owner,"EMI ₹26,262/m","₹26,262"
Pune,2021,Renault,Kwid,Petrol,Auto,412000,2nd owner,"EMI ₹8,049/m","₹8,049"
Pune,2019,Hyundai,NEW,CNG,Manual,423000,1st owner,"EMI ₹8,266/m","₹8,266"
Pune,2017,Honda,WR-V,Petrol,Manual,600000,1st owner,"EMI ₹11,737/m","₹11,737"
Pune,2018,Tata,NEXON,CNG,Manual,662000,2nd owner,"EMI ₹12,937/m","₹12,937"
Pune,2021,Maruti,Swift,CNG,Manual,590000,1st owner,"EMI ₹11,535/m","₹11,535"
Pune,2023,Tata,Tiago,CNG,Manual,648000,1st owner,"EMI ₹12,665/m","₹12,665"
Pune,2020,Tata,Tiago,Petrol,Manual,441000,1st owner,"EMI ₹8,614/m","₹8,614"
Pune,2022,MG,ASTOR,Petrol,Auto,1343000,1st owner,"EMI ₹25,563/m","₹25,563"
Pune,2019,Maruti,Dzire,Petrol,Manual,486000,2nd owner,"EMI ₹9,496/m","₹9,496"
Pune,2018,Honda,WR-V,Petrol,Manual,641000,1st owner,"EMI ₹12,532/m","₹12,532"
Pune,2016,Hyundai,Verna,Petrol,Manual,540000,1st owner,"EMI ₹10,557/m","₹10,557"
Pune,2017,Tata,Tiago,Petrol,Manual,352000,1st owner,"EMI ₹6,884/m","₹6,884"
Pune,2024,Tata,TIGOR,CNG,Auto,890000,1st owner,"EMI ₹16,943/m","₹16,943"
Pune,2019,KIA,SELTOS,Petrol,Auto,1160000,2nd owner,"EMI ₹22,088/m","₹22,088"
Bangalore,2013,Hyundai,Eon,Petrol,Manual,225000,2nd owner,"EMI ₹7,457/m","₹7,457"
Bangalore,2013,Honda,Amaze,Petrol,Manual,379000,1st owner,"EMI ₹12,577/m","₹12,577"
Bangalore,2019,Honda,Amaze,Petrol,Manual,596000,1st owner,"EMI ₹11,656/m","₹11,656"
Bangalore,2015,Hyundai,i10,Petrol,Manual,335000,2nd owner,"EMI ₹7,456/m","₹7,456"
Bangalore,2023,Maruti,New,Petrol,Manual,643000,1st owner,"EMI ₹12,565/m","₹12,565"
Bangalore,2014,Maruti,Wagon,Petrol,Manual,367000,1st owner,"EMI ₹9,652/m","₹9,652"
Bangalore,2012,Skoda,Rapid,Diesel,Manual,337000,1st owner,"EMI ₹29,959/m","₹29,959"
Bangalore,2018,Maruti,Vitara,Diesel,Auto,799000,1st owner,"EMI ₹17,773/m","₹17,773"
Bangalore,2021,Mahindra,Thar,Petrol,Auto,1042000,1st owner,"EMI ₹19,834/m","₹19,834"
Bangalore,2016,Hyundai,Eon,Petrol,Manual,276000,2nd owner,"EMI ₹5,401/m","₹5,401"
Bangalore,2012,Hyundai,Verna,Petrol,Manual,363000,3rd owner,"EMI ₹17,086/m","₹17,086"
Bangalore,2022,Tata,ALTROZ,Petrol,Manual,677000,2nd owner,"EMI ₹13,232/m","₹13,232"
Bangalore,2021,Volkswagen,Polo,Petrol,Manual,857000,1st owner,"EMI ₹16,321/m","₹16,321"
Bangalore,2018,Nissan,Sunny,Petrol,Manual,467000,1st owner,"EMI ₹9,132/m","₹9,132"
Bangalore,2023,KIA,CARENS,Petrol,Manual,991000,1st owner,"EMI ₹18,863/m","₹18,863"
Bangalore,2019,Renault,Duster,Petrol,Manual,586000,2nd owner,"EMI ₹11,457/m","₹11,457"
