City,Year,Brand,Model,Fuel_Type,Transmission,KM_Driven,Owner,EMI_Price,Price,KM_Representation,Car_Age,Price_per_KM,Price_Category
Pune,2023,Hyundai,New,Petrol,Auto,876000.0,1St Owner,16676.0,16676.0,L,2,0.02,Budget
Pune,2022,Renault,Triber,Petrol,Auto,650000.0,1St Owner,12705.0,12705.0,L,3,0.02,Budget
Pune,2019,Hyundai,Venue,Petrol,Auto,772000.0,2Nd Owner,15088.0,15088.0,L,6,0.02,Budget
Pune,2022,Tata,Nexon,Diesel,Manual,1254000.0,1St Owner,23862.0,23862.0,L,3,0.02,Budget
Pune,2022,Tata,Altroz,Petrol,Manual,741000.0,1St Owner,14478.0,14478.0,L,3,0.02,Budget
Pune,2023,Mg,Astor,Petrol,Auto,1380000.0,1St Owner,26262.0,26262.0,L,2,0.02,Budget
Pune,2021,Renault,Kwid,Petrol,Auto,412000.0,2Nd Owner,8049.0,8049.0,L,4,0.02,Budget
Pune,2019,Hyundai,New,Cng,Manual,423000.0,1St Owner,8266.0,8266.0,L,6,0.02,Budget
Pune,2017,Honda,Wr-V,Petrol,Manual,600000.0,1St Owner,11737.0,11737.0,L,8,0.02,Budget
Pune,2018,Tata,Nexon,Cng,Manual,662000.0,2Nd Owner,12937.0,12937.0,L,7,0.02,Budget
Pune,2021,Maruti,Swift,Cng,Manual,590000.0,1St Owner,11535.0,11535.0,L,4,0.02,Budget
Pune,2023,Tata,Tiago,Cng,Manual,648000.0,1St Owner,12665.0,12665.0,L,2,0.02,Budget
Pune,2020,Tata,Tiago,Petrol,Manual,441000.0,1St Owner,8614.0,8614.0,L,5,0.02,Budget
Pune,2022,Mg,Astor,Petrol,Auto,1343000.0,1St Owner,25563.0,25563.0,L,3,0.02,Budget
Pune,2019,Maruti,Dzire,Petrol,Manual,486000.0,2Nd Owner,9496.0,9496.0,L,6,0.02,Budget
Pune,2018,Honda,Wr-V,Petrol,Manual,641000.0,1St Owner,12532.0,12532.0,L,7,0.02,Budget
Pune,2016,Hyundai,Verna,Petrol,Manual,540000.0,1St Owner,10557.0,10557.0,L,9,0.02,Budget
Pune,2017,Tata,Tiago,Petrol,Manual,352000.0,1St Owner,6884.0,6884.0,L,8,0.02,Budget
Pune,2024,Tata,Tigor,Cng,Auto,890000.0,1St Owner,16943.0,16943.0,L,1,0.02,Budget
Pune,2019,Kia,Seltos,Petrol,Auto,1160000.0,2Nd Owner,22088.0,22088.0,L,6,0.02,Budget
Bangalore,2013,Hyundai,Eon,Petrol,Manual,225000.0,2Nd Owner,7457.0,7457.0,L,12,0.03,Budget
Bangalore,2013,Honda,Amaze,Petrol,Manual,379000.0,1St Owner,12577.0,12577.0,L,12,0.03,Budget
Bangalore,2019,Honda,Amaze,Petrol,Manual,596000.0,1St Owner,11656.0,11656.0,L,6,0.02,Budget
Bangalore,2015,Hyundai,I10,Petrol,Manual,335000.0,2Nd Owner,7456.0,7456.0,L,10,0.02,Budget
Bangalore,2023,Maruti,New,Petrol,Manual,643000.0,1St Owner,12565.0,12565.0,L,2,0.02,Budget
Bangalore,2014,Maruti,Wagon,Petrol,Manual,367000.0,1St Owner,9652.0,9652.0,L,11,0.03,Budget
Bangalore,2012,Skoda,Rapid,Diesel,Manual,337000.0,1St Owner,29959.0,29959.0,L,13,0.09,Budget
Bangalore,2018,Maruti,Vitara,Diesel,Auto,799000.0,1St Owner,17773.0,17773.0,L,7,0.02,Budget
Bangalore,2021,Mahindra,Thar,Petrol,Auto,1042000.0,1St Owner,19834.0,19834.0,L,4,0.02,Budget
